,parentId,authorDisplayName,replyComment,publishedAt,extractedAt,likeCount
0,Ugz-nYc_jfGqyt0F5oB4AaABAg,Avery Raymond,@Ali Leonardo Lately I have been using flixzone. Just google for it =),2021-06-18T08:22:15Z,2022-02-12 12:59:59.995307,0
1,Ugz-nYc_jfGqyt0F5oB4AaABAg,Ali Leonardo,i guess I am quite off topic but do anyone know a good place to stream newly released series online ?,2021-06-18T07:51:01Z,2022-02-12 12:59:59.995307,0
2,UgwAmVEK3yBjxPRm_Nl4AaABAg,Doctor of_Junk_Science,"Flask чаще используется (и не только для построения REST API), и я решил, что больше людей посмотрит видео о том, как реализовать приложение на чистом flask (хотя и с помощью нескольких дополнительных библиотек).",2020-12-31T04:23:26Z,2022-02-12 12:59:59.995307,2
3,Ugw61RpzaFKjmkUiFqx4AaABAg,Дмитрий Игумнов,"я не понимаю зачем вообще в видео ролик включена часть, где автор вводит код.. для полного погружения что ли =\",2021-03-23T05:00:11Z,2022-02-12 12:59:59.995307,0
4,Ugw61RpzaFKjmkUiFqx4AaABAg,Oleg Kuhalskiy,Это точно,2021-02-19T10:28:54Z,2022-02-12 12:59:59.995307,0
5,Ugx3Yao2_42GRZ5A4TB4AaABAg,Прохожделкин,"чел, сам пайтон находится на слишком высоком уровне абстракции и тут просто нельзя без библиотек. Хочешь без них - пиши на ассемблере. И вообще, что плохого в библиотеках?",2021-10-02T14:57:19Z,2022-02-12 12:59:59.995307,2
6,Ugx3Yao2_42GRZ5A4TB4AaABAg,dator ikai,selfedu,2021-09-01T17:51:28Z,2022-02-12 12:59:59.995307,0
7,Ugx3Yao2_42GRZ5A4TB4AaABAg,Amirk Иванов,"Любитель создавать ""велосипеды""?",2021-03-31T08:04:28Z,2022-02-12 12:59:59.995307,0
8,Ugx3Yao2_42GRZ5A4TB4AaABAg,Anatol Kryvetskyi,и без рук,2021-02-10T12:11:05Z,2022-02-12 12:59:59.995307,1
9,Ugx3Yao2_42GRZ5A4TB4AaABAg,Дмитрий Лузин,лол,2020-11-26T07:55:48Z,2022-02-12 12:59:59.995307,0
10,Ugx-cgPROCc8YOX0gJd4AaABAg,Максим Бочаров,когда пересел на пайтон и стал думать так же быстро как  и пайтон,2020-09-07T08:05:14Z,2022-02-12 12:59:59.995307,1
11,Ugx-cgPROCc8YOX0gJd4AaABAg,qZiBeT,Тоже самое,2020-07-31T18:30:46Z,2022-02-12 12:59:59.995307,0
12,UgziHmnems4CM6iIkNh4AaABAg,Doctor of_Junk_Science,Можете написать сюда - https://vk.com/rpereselkov,2020-05-23T06:24:22Z,2022-02-12 12:59:59.995307,0
13,UgyVz_qf3Y9gZLVHUQB4AaABAg,Максим Бочаров,"@Lion ну тож норм тема, на Дарье и бекенд же можно писать",2020-09-07T08:48:09Z,2022-02-12 12:59:59.995307,0
14,UgyVz_qf3Y9gZLVHUQB4AaABAg,Lion,"@Максим Бочаров dart/flutter. Кроссплатформа на андроид,ios",2020-09-07T08:30:05Z,2022-02-12 12:59:59.995307,0
15,UgyVz_qf3Y9gZLVHUQB4AaABAg,Максим Бочаров,@Lion и чем занимаешься ?),2020-09-07T08:24:07Z,2022-02-12 12:59:59.995307,0
16,UgyVz_qf3Y9gZLVHUQB4AaABAg,Lion,"@Максим Бочаров понял что не мое, бэкенд",2020-09-07T08:19:51Z,2022-02-12 12:59:59.995307,0
17,UgyVz_qf3Y9gZLVHUQB4AaABAg,Максим Бочаров,как успехи?) 3 месяца прошло,2020-09-07T08:05:42Z,2022-02-12 12:59:59.995307,0
