,publishedAt,extractedAt,id,title,views,likes,comments
0,2020-03-15T08:55:57Z,2022-02-12 12:17:06.889947,KyKQrJJozBI,Тестирование. Простой пример на Pytest,4543,113,7
1,2020-02-17T07:29:13Z,2022-02-12 12:17:07.229558,w8O6apM3aBw,REST API (Python): Пример,21338,406,42
2,2020-05-11T06:54:15Z,2022-02-12 12:17:07.462194,cMz7J7iFuK8,REST API (Python): Marshmallow. Сериализация и десериализация данных,2532,64,28
3,2020-02-29T11:24:30Z,2022-02-12 12:17:07.791245,_pK0aUPpX_Q,"REST API (Python, Flask): запросы PUT и DELETE",3219,106,8
4,2020-05-03T07:40:39Z,2022-02-12 12:17:08.026862,B68Ww5vgx2A,REST API (Python): Авторизация. Flask-JWT-Extended,3034,84,3
5,2020-06-15T16:48:54Z,2022-02-12 12:17:08.264160,qISyRlPRmcM,Установка Celery и  RabbitMQ,1581,50,6
6,2020-07-13T16:52:53Z,2022-02-12 12:17:08.648149,28w7848Sj08,REST API (Python): миграции. Alembic,1400,45,4
7,2020-06-10T04:58:25Z,2022-02-12 12:17:08.930934,tS4w17WYcso,REST API (Python): деплой на Linux сервер с помощью Docker,920,31,4
8,2020-05-08T15:32:30Z,2022-02-12 12:17:09.753781,90DnUhSDzKY,REST API (Python): Авторизация - часть 2. Flask-JWT-Extended,2601,83,19
9,2020-04-11T08:36:14Z,2022-02-12 12:17:10.130951,pV0p1M3ikbU,"REST API(Python, Flask): База данных. SqlAlchemy ORM | Часть 1",3464,89,7
10,2020-05-23T13:40:25Z,2022-02-12 12:17:10.509314,bgnRGNhiOOY,REST API (Python): Обработка исключений SqlAlchemy,569,34,1
11,2021-03-14T14:40:20Z,2022-02-12 12:17:10.869019,QfjBKOhZzLs,"Python и базы данных. SqlAlchemy. Query, Join, lazy loading",489,23,4
12,2021-05-15T03:28:56Z,2022-02-12 12:17:11.120503,B6qH-vStUP8,"Проект Pythonclassic. Где найти задачи на Python, примеры кода",225,11,3
13,2020-06-06T13:05:01Z,2022-02-12 12:17:11.342302,SaTsGuAWVNU,REST API (Python): Автоматизация тестов с помощью фреймворка на Pytest,2093,37,6
14,2019-07-30T12:17:51Z,2022-02-12 12:17:11.607929,veNUV_BLA6s,The7 Wordpress Theme: How to Make Web Page,4171,28,3
15,2020-07-08T15:37:57Z,2022-02-12 12:17:11.950785,yn_Ul28qljg,REST API (Python) конфигурация Flask CORS,473,22,0
16,2020-05-17T13:14:18Z,2022-02-12 12:17:12.193254,ck_6F4AU9iY,REST API (Python): Обработка и логирование исключений,1081,41,2
17,2020-08-02T15:46:29Z,2022-02-12 12:17:12.460057,QCRwvU3Ju84,Vue.js + Flask: регистрация и авторизация (часть 2),858,20,3
18,2021-02-20T15:08:20Z,2022-02-12 12:17:13.171625,jTnlne2iw00,Python и базы данных. SqlAlchemy. Введение,1008,38,2
19,2020-07-25T14:39:53Z,2022-02-12 12:17:13.538612,OmqEsrzKy6A,Celery + Django. Загрузка файлов,681,17,9
20,2021-04-05T14:26:18Z,2022-02-12 12:17:13.820158,_QjHT4u6uxc,Python и базы данных. SqlAlchemy. Сессия,506,19,1
21,2020-05-28T05:39:38Z,2022-02-12 12:17:14.040205,DYxcKIBEISE,REST API (Python): Blueprints и модульная архитектура,826,38,2
22,2020-05-31T09:44:13Z,2022-02-12 12:17:14.319869,3ZQ9bnkg8zw,REST API (Python): Flask Pluggable Views | как писать view-классы,697,23,2
23,2021-05-23T08:39:14Z,2022-02-12 12:17:14.613648,g98cofL3zLo,"Python и базы данных. SqlAlchemy. Cascades, транзакции",274,17,3
24,2021-03-06T17:02:29Z,2022-02-12 12:17:14.845484,Oa73RC8wFvw,"Python и базы данных. SqlAlchemy. Relationships, первичный и вторичный ключи",1366,38,5
25,2020-07-18T07:05:07Z,2022-02-12 12:17:15.233176,9RUdDoCbYoE,REST API (Python): Вебсокеты. Flask-SocketIO,1033,26,7
26,2020-12-20T12:35:55Z,2022-02-12 12:17:15.499403,_Xu4DI2BlGc,REST API (Python): Админ-панель. Часть 3 - декоратор для ограничения доступа к админке,351,15,2
27,2020-07-07T10:46:08Z,2022-02-12 12:17:15.780467,nQaE4x1yFG0,Запросы к API. Vuex,278,8,0
28,2020-07-29T15:27:55Z,2022-02-12 12:17:16.615548,ShnuYy9q1bM,Vue.js + Flask: регистрация и авторизация (часть 1),1154,22,6
29,2020-06-24T15:35:36Z,2022-02-12 12:17:16.945097,v2EC9rNxyTk,Интеграция Celery + Flask,1110,28,5
30,2020-07-04T10:43:19Z,2022-02-12 12:17:17.298780,rP0LY-eJocw,Vue-компонент на bootstrap. Axios,299,11,2
31,2020-07-05T12:42:05Z,2022-02-12 12:17:17.694469,UMYcoYAlvng,"REST API (Python) загрузка файлов. Celery, S3",590,18,1
32,2020-09-20T17:44:27Z,2022-02-12 12:17:17.945758,IDemzX6m8O0,REST API (Python): Админ-панель. Часть 1 модель данных,558,17,1
33,2020-04-19T05:25:37Z,2022-02-12 12:17:18.211461,lxd7qSo5vNc,"REST API(Python, Flask): База данных. SqlAlchemy ORM | Часть 2",1688,69,8
34,2020-06-30T07:15:24Z,2022-02-12 12:17:18.450196,H_YaI8QrjHs,Веб-приложение на Vue.js. Создание проекта,898,22,4
35,2020-11-02T05:07:17Z,2022-02-12 12:17:18.801975,s_62LUiOIwA,REST API (Python): Админ-панель. Часть 2 - роуты,333,14,6
36,2020-07-01T02:53:34Z,2022-02-12 12:17:19.147166,PnQFIRNWgYs,В гостях C++ программист Владимир Победоносный. Говорим о C++ на примере реального кода,129,2,0
37,2017-04-23T06:49:01Z,2022-02-12 12:17:19.408975,_XfF0sEUNbI,Каменный грифон из Алтайского района,1763,8,1
