,publishedAt,extractedAt,id,title,views,likes,comments
0,2022-01-23T16:19:16Z,2022-02-13 18:40:51.894780,49ZFWqIA_1Y,Я прошел курс Михаила Литвина “МАРКЕТПЛЕЙСЫ ЗА 21 ДЕНЬ”,902616,52880,1798
1,2021-09-12T16:11:49Z,2022-02-13 18:40:52.238177,2P3y0yymOlE,Я стал Альфонсом! (мужской эскорт),528734,33683,1324
2,2021-06-24T16:44:34Z,2022-02-13 18:40:52.556019,7qFUW6bDdec,ШОК! ВАМ ДОСТУПНА ВЫПЛАТА РАЗМЕРОМ....,541478,35016,1217
3,2021-07-22T16:01:39Z,2022-02-13 18:40:52.954290,FihBloHIRsc,Я прошел курс Гусейна Гасанова &quot;Мышление Миллионера&quot;,1364975,73513,3194
4,2021-09-26T16:27:38Z,2022-02-13 18:40:53.249778,aBT3Bn_xM74,КТО ЗВОНИТ И СБРАСЫВАЕТ ТЕБЕ КАЖДЫЙ ДЕНЬ?!,1006255,60531,2479
5,2021-12-26T16:24:48Z,2022-02-13 18:40:53.554926,mlMd7ODFTWU,Я прошел курс Саши Спилберг &quot;Агент Блогера&quot;,361829,27221,1146
6,2021-07-15T16:36:04Z,2022-02-13 18:40:53.837784,93vA_5lSg0Y,ТА САМАЯ РАБОТА КУРЬЕРОМ В ТЕЛЕГРАМ feat. Scammers,1163728,67960,1786
7,2021-10-03T16:21:32Z,2022-02-13 18:40:54.199487,iihEIRUevcw,Купил ПРОБИВ ДАННЫХ за 1000 и 10 000 РУБЛЕЙ!,625662,34631,742
8,2021-10-03T16:21:32Z,2022-02-13 18:40:55.214635,iihEIRUevcw,Купил ПРОБИВ ДАННЫХ за 1000 и 10 000 РУБЛЕЙ!,625662,34631,742
9,2020-09-08T16:27:31Z,2022-02-13 18:40:55.562477,DKcsIz-Ci7E,Как РАЗБОГАТЕТЬ на ЧУЖОМ БИЗНЕСЕ?! — ПАТЕНТНЫЕ ТРОЛЛИ,233383,17244,594
10,2020-01-15T16:15:18Z,2022-02-13 18:40:55.877128,b1ar7cryD0A,"Что будет, если ЗАДОЛЖАТЬ КУЧУ ДЕНЕГ?!",1813097,87193,3208
11,2021-09-23T16:27:38Z,2022-02-13 18:40:56.195745,ahcudt1hDVI,Я прошел курс Subo “Директор по Рекламе”,540642,34722,1185
12,2022-02-10T15:54:40Z,2022-02-13 18:40:56.520229,DBddHLtv8ys,Минирование в Школах в 2022,316873,25013,1211
13,2019-07-02T16:37:43Z,2022-02-13 18:40:56.794961,V1cwCH_yiqE,КАК РАЗОБЛАЧИТЬ МОШЕННИЦУ В ИНТЕРНЕТЕ?!,1609445,104945,4167
14,2022-01-13T16:29:02Z,2022-02-13 18:40:57.119555,XWw_ahx_Qw8,Почему НЕЛЬЗЯ говорить &quot;ДА&quot; по телефону мошеннику?,330571,22024,764
15,2021-10-14T16:10:54Z,2022-02-13 18:40:57.442681,UtHmafCfZfM,Я Накрутил 100к Подписчиков. Зачем?,275172,20585,713
16,2021-11-24T16:18:02Z,2022-02-13 18:40:57.876150,YYhQ3GLE810,Купил ОТРИСОВКУ ДОКУМЕНТОВ за 1000 и 10 000 РУБЛЕЙ!,231433,14657,455
17,2021-11-28T16:15:55Z,2022-02-13 18:40:58.195650,PDpfJfwqF9Y,"СОЗДАЛ ДЕВУШКУ, КОТОРОЙ НИКОГДА НЕ СУЩЕСТВОВАЛО..",393097,39030,1673
18,2021-10-24T16:21:51Z,2022-02-13 18:40:58.919053,gDouFX1SuiY,Сходил к гадалке... feat. Overbafer,308980,22901,1147
19,2022-02-06T16:28:27Z,2022-02-13 18:40:59.235974,W05bAi_Q9Nc,Я — ДЕВУШКА В ИНТЕРНЕТЕ! #7 Развожу арабов в Инстаграм!,242344,17926,747
20,2021-09-30T16:14:10Z,2022-02-13 18:40:59.523450,UHiHVyHgy_Y,КАК СКАМИЛИ 20 ЛЕТ НАЗАД?!,332943,22012,712
21,2021-08-29T15:04:04Z,2022-02-13 18:40:59.962221,AVhHtd28QQw,"КУПИЛ ЧУЖОЙ ТЕЛЕГРАМ КАНАЛ, ЗАЧЕМ?",243014,18178,657
22,2022-01-20T16:25:44Z,2022-02-13 18:41:00.274924,uj67dA_D4ZY,TON — Скам или новый биткоин?,224924,14515,657
23,2021-12-19T16:24:22Z,2022-02-13 18:41:00.598877,2XLnsV38DTY,Я Заказал &quot;КРЕМЛЕБОТОВ&quot; на себя!,265174,19518,1421
24,2021-11-14T16:27:10Z,2022-02-13 18:41:00.955171,ow7uYyk9DbE,Сколько стоит твоя жизнь в Даркнет?,453932,28965,747
25,2021-10-17T14:50:13Z,2022-02-13 18:41:01.298530,bjscKKOoipI,НЕ БЕРИ КРЕДИТ! (пока не посмотришь это видео),427193,29812,1480
26,2020-01-28T15:21:13Z,2022-02-13 18:41:01.595952,-5fuoIYrUFU,КАК Я КУПИЛ ПОЛИТИЧЕСКУЮ РЕКЛАМУ У БЛОГЕРОВ...,489130,51354,3086
27,2021-03-22T16:15:31Z,2022-02-13 18:41:01.876144,soAiMUNWWpI,ТА САМАЯ РАБОТА ДЛЯ МАМОЧЕК В ДЕКРЕТЕ,960032,55931,2055
28,2021-03-22T16:15:31Z,2022-02-13 18:41:02.720062,soAiMUNWWpI,ТА САМАЯ РАБОТА ДЛЯ МАМОЧЕК В ДЕКРЕТЕ,960032,55931,2055
29,2020-12-13T16:00:48Z,2022-02-13 18:41:03.096889,6zgKbKE6zhs,Сколько в ДАРКНЕТЕ зарабатывает СОТРУДНИК БАНКА?!,414733,21148,829
30,2021-09-05T16:29:05Z,2022-02-13 18:41:03.430205,1NG23W7DK_A,Как ТЕБЕ заработать В ТЮРЬМЕ?,264210,19610,688
31,2022-01-27T16:27:59Z,2022-02-13 18:41:03.774053,HkFbWiE8JN4,Я стал Sugar Daddy (метод Папича),393945,30674,1121
32,2021-06-10T16:30:00Z,2022-02-13 18:41:04.000329,GyCinmT6zag,ПОКУПАЮ И ПРОДАЮ ОТВЕТЫ ЕГЭ 2021,495561,32608,1648
33,2022-01-30T16:28:33Z,2022-02-13 18:41:04.315218,FD-E43ZrTQQ,Как уезжают из России в 2022 году?,239333,17458,844
34,2021-10-07T15:58:05Z,2022-02-13 18:41:04.574624,jQ6x8TMTcPI,Чем ДАРКНЕТ может УДИВИТЬ В 2021 ГОДУ?!,372397,22469,606
